rank_by_probability,bitstring,probability,qubo_energy,feasible,makespan,selected_cmax,num_violations,violations
1,10010001100001,0.6328125,5.0,True,5,5,0,
2,10010001100000,0.266845703125,15.0,False,5,5,1,工序 J0-O0 选择了 0 个开始时间
3,10010011100001,0.016845703125,15.0,False,5,5,1,工序 J1-O0 选择了 2 个开始时间
4,10110001100001,0.01611328125,15.0,False,5,5,1,工序 J1-O1 选择了 2 个开始时间
5,10000001100001,0.011962890625,15.0,False,5,5,1,工序 J1-O1 选择了 0 个开始时间
6,10010011100000,0.0068359375,25.0,False,5,5,2,工序 J0-O0 选择了 0 个开始时间 | 工序 J1-O0 选择了 2 个开始时间
7,10010001110001,0.006103515625,15.0,False,4,5,1,工序 J0-O1 选择了 2 个开始时间
8,10010001110000,0.005615234375,25.0,False,4,5,2,工序 J0-O0 选择了 0 个开始时间 | 工序 J0-O1 选择了 2 个开始时间
9,10000001100000,0.00537109375,25.0,False,5,5,2,工序 J0-O0 选择了 0 个开始时间 | 工序 J1-O1 选择了 0 个开始时间
10,10110001100000,0.004638671875,25.0,False,5,5,2,工序 J0-O0 选择了 0 个开始时间 | 工序 J1-O1 选择了 2 个开始时间
11,11010001100001,0.004638671875,29.0,False,5,,1,Cmax 选择了 2 个候选值
12,10010001100011,0.004150390625,25.0,False,5,5,1,工序 J0-O0 选择了 2 个开始时间
13,10010000100001,0.00341796875,15.0,False,5,5,1,工序 J1-O0 选择了 0 个开始时间
14,10010001100010,0.00244140625,15.0,False,5,5,1,机器 M0 上 J0O0 与 J1O1 时间重叠
15,10011001100001,0.001708984375,25.0,False,5,5,1,工序 J1-O1 选择了 2 个开始时间
16,11010001100000,0.00146484375,39.0,False,5,,2,工序 J0-O0 选择了 0 个开始时间 | Cmax 选择了 2 个候选值
17,10010001000001,0.001220703125,15.0,False,4,5,1,工序 J0-O1 选择了 0 个开始时间
18,10010000100000,0.0009765625,25.0,False,5,5,2,工序 J0-O0 选择了 0 个开始时间 | 工序 J1-O0 选择了 0 个开始时间
19,10011001100000,0.0009765625,25.0,False,5,5,2,工序 J0-O0 选择了 0 个开始时间 | 工序 J1-O1 选择了 2 个开始时间
20,00010001100001,0.000732421875,10.0,False,5,,1,Cmax 选择了 0 个候选值
21,10000011100001,0.00048828125,25.0,False,5,5,2,工序 J1-O0 选择了 2 个开始时间 | 工序 J1-O1 选择了 0 个开始时间
22,10110011100001,0.00048828125,25.0,False,5,5,2,工序 J1-O0 选择了 2 个开始时间 | 工序 J1-O1 选择了 2 个开始时间
23,10000001000000,0.00048828125,35.0,False,1,5,3,工序 J0-O0 选择了 0 个开始时间 | 工序 J0-O1 选择了 0 个开始时间 | 工序 J1-O1 选择了 0 个开始时间
24,10000011100000,0.00048828125,35.0,False,5,5,3,工序 J0-O0 选择了 0 个开始时间 | 工序 J1-O0 选择了 2 个开始时间 | 工序 J1-O1 选择了 0 个开始时间
25,10010001001001,0.000244140625,5.0,True,4,5,0,
26,10010010100001,0.000244140625,5.0,True,5,5,0,
27,10100001100001,0.000244140625,5.0,True,5,5,0,
28,00010011100001,0.000244140625,20.0,False,5,,2,工序 J1-O0 选择了 2 个开始时间 | Cmax 选择了 0 个候选值
29,10000011100010,0.000244140625,25.0,False,5,5,2,工序 J1-O0 选择了 2 个开始时间 | 工序 J1-O1 选择了 0 个开始时间
30,10010000110001,0.000244140625,25.0,False,4,5,2,工序 J0-O1 选择了 2 个开始时间 | 工序 J1-O0 选择了 0 个开始时间
31,10010001000000,0.000244140625,25.0,False,4,5,2,工序 J0-O0 选择了 0 个开始时间 | 工序 J0-O1 选择了 0 个开始时间
32,10010011000001,0.000244140625,25.0,False,4,5,2,工序 J0-O1 选择了 0 个开始时间 | 工序 J1-O0 选择了 2 个开始时间
33,10010000110000,0.000244140625,35.0,False,4,5,3,工序 J0-O0 选择了 0 个开始时间 | 工序 J0-O1 选择了 2 个开始时间 | 工序 J1-O0 选择了 0 个开始时间
34,10010011100011,0.000244140625,35.0,False,5,5,2,工序 J0-O0 选择了 2 个开始时间 | 工序 J1-O0 选择了 2 个开始时间
35,10110001100011,0.000244140625,35.0,False,5,5,2,工序 J0-O0 选择了 2 个开始时间 | 工序 J1-O1 选择了 2 个开始时间
36,10110001110000,0.000244140625,35.0,False,1,5,3,工序 J0-O0 选择了 0 个开始时间 | 工序 J0-O1 选择了 2 个开始时间 | 工序 J1-O1 选择了 2 个开始时间
37,11010011100001,0.000244140625,39.0,False,5,,2,工序 J1-O0 选择了 2 个开始时间 | Cmax 选择了 2 个候选值
